text,label
no i dont,Claim
ive opposed the death penalty during all of my life,Premise
i think there are better and more effective ways to deal with violent crime,Claim
i dont see any evidence that its a deterrent,Premise
weve done so in my own state,Premise
we have had the biggest drop in crime of any industrial state in america,Premise
we have work to do in this nation,Claim
we have work to do to fight a real war not a phony war against drugs,Claim
we have much to do to step up that war,Premise
to double the number of drug enforcement agents,Premise
to fight both here and abroad,Premise
to work with our neighbors in this hemisphere,Premise
we also have to deal with drug education prevention here at home,Claim
weve had great success in my own state,Premise
weve reached out to young people and their families and been able to help them by beginning drug education and prevention in the early elementary grades,Premise
we can do so in a way that marshals our forces,Claim
do it in a way which will bring down violence in this nation,Claim
will help our youngsters to stay away from drugs,Claim
will stop this avalanche of drugs thats pouring into the country,Claim
will make it possible for our kids and our families to grow up in safe and secure and decent neighborhoods,Claim
im glad that the congress moved on this drug bill and have finally called for that related to these narcotics drug kingpins,Premise
id have confidence in him,Claim
i made a good selection,Claim
ive never seen such a pounding an unfair pounding on a young senator in my entire life,Premise
ive never seen a presidential campaign where the presidential nominee runs against my vice presidential nominee,Premise
lloyd bentsen jumped on dan quayle when dan quayle said hes had roughly the same amount of experience,Premise
he had two terms in the congress,Premise
he had two terms in the senate serving his second term,Premise
he founded authored the job training partnership act,Premise
it says to american working men and women that are thrown out of work for no fault of their own that theyre going to have jobs,Premise
were moving into a new competitive age,Premise
he unlike my opponent is an expert in national defense,Claim
helped amend the inf treaty so we got a good sound treaty when these people over here were talking about a freeze,Premise
if wed listened to them we would never have had a treaty,Claim
i have great confidence in him,Claim
the american people are fair,Claim
its turning around,Claim
they dont like it when theres an unfair pounding and kind of hooting about people,Premise
they want to judge it on the record itself,Premise
im proud of my choice,Claim
i dont think age is the only criterion,Claim
im proud that people who are 30 years old and 40 years old now have someone in their generation that is going to be vice president of the united states of america,Premise
i made a good selection,Claim
he could do the job,Claim
the american people are seeing it,Premise
thats why people are so concerned,Claim
this was the first presidential decision that we as nominees were called upon to make,Premise
it was an opportunity for us to demonstrate what we were looking for in a running mate,Premise
it was the first national security decision that we had to make,Premise
three times since world war ii the vice president has had to suddenly become the president and commander in chief,Premise
i thought he was the best qualified person for the job,Claim
no new taxes,Claim
despite that same pledge from president reagan after income tax rates were cut in each of the last five years some federal taxes have gone up on social security cigarettes liquor even long distance telephone calls,Premise
thats money straight out of peoples wallets,Premise
no,Claim
im pledged to that,Premise
yes some taxes have gone up,Premise
yet income is up to the federal government by 25 percent in the last three years,Premise
what i want to do is keep this expansion going,Claim
i dont want to kill it off by a tax increase,Claim
the vice president talks about national security,Premise
we can fight this war,Claim
we can win this war,Claim
