Component,Label
the situation regarding Ukraine has seriously deteriorated.,claim
"Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.",premise
The individuals involved called for secession from Ukraine and for joining the Russian Federation.,premise
"In Donetsk, some of these individuals declared a People's Republic of Donetsk.",premise
"It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.",premise
United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.,premise
"They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.",premise
"United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.",premise
"On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.",premise
"As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.",premise
Numerous others have been reported wounded.,premise
"Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am.",premise
Kyiv time to give up their weapons in order to avoid prosecution.,premise
"The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.",premise
"The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.",premise
The situation is therefore now more combustible than ever.,claim
The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.,claim
The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.,claim
He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.,claim
"The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.",claim
It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.,claim
"At this moment, Ukraine teeters on the very brink.",claim
"However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.",claim
"Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.",premise
Such scenarios will also have repercussions for the entire international community.,claim
the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society,claim
"The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.",premise
Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.,claim
"A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.",premise
I would simply have shot them.,premise
The enemy is prevailing in our land.,premise
They should have been chased out in 1654.,premise
"These creatures deserve only one thing - death.""",premise
It should be noted that this was said by a woman.,premise
We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.,premise
Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?,claim
"The events of the past two days have shown that,",premise
"following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.",claim
"Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.",premise
