Sentence,Label,Components
"Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.",claim,"{'the situation regarding Ukraine has seriously deteriorated.': ['claim', 59]}"
This is now the tenth time that the Council has addressed the issue.,none,{}
The General Assembly also took up the matter on 27 March (see A/68/PV.80).,none,{}
"Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.",premise,"{'Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.': ['premise', 259]}"
The individuals involved called for secession from Ukraine and for joining the Russian Federation.,premise,"{'The individuals involved called for secession from Ukraine and for joining the Russian Federation.': ['premise', 98]}"
"In Donetsk, some of these individuals declared a People's Republic of Donetsk.",premise,"{""In Donetsk, some of these individuals declared a People's Republic of Donetsk."": ['premise', 78]}"
"It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.",premise,"{'It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.': ['premise', 231]}"
United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.,premise,"{'United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.': ['premise', 113]}"
"They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.",premise,"{'They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.': ['premise', 79]}"
"United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.",premise,"{'United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.': ['premise', 119]}"
"On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.",premise,"{'On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.': ['premise', 277]}"
