ID,Speech,Sentence_ID,Full_Sentence,Component,Component_Type,Premises
1,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,1,"Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.","[1, 'the situation regarding Ukraine has seriously deteriorated.']",claim,"{2: 'support', 9: 'support', 5: 'support', 11: 'support', 10: 'support', 8: 'support', 7: 'support', 6: 'support', 4: 'support', 3: 'support'}"
2,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,2,This is now the tenth time that the Council has addressed the issue.,non-arg,non-arg,non-arg
3,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,3,The General Assembly also took up the matter on 27 March (see A/68/PV.80).,non-arg,non-arg,non-arg
4,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,4,"Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.","[2, 'Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.']",premise,{}
5,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,5,The individuals involved called for secession from Ukraine and for joining the Russian Federation.,"[3, 'The individuals involved called for secession from Ukraine and for joining the Russian Federation.']",premise,{}
6,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,6,"In Donetsk, some of these individuals declared a People's Republic of Donetsk.","[4, ""In Donetsk, some of these individuals declared a People's Republic of Donetsk.""]",premise,{}
7,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,7,"It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.","[5, 'It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.']",premise,{}
8,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,8,United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.,"[6, 'United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.']",premise,{}
9,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,9,"They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.","[7, 'They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.']",premise,{}
10,UNSC_2014_SPV.7154_spch002_UNBriefer_neg,10,"United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.","[8, 'United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.']",premise,{}
