id,ids of components,two_components,relation type
1,"[2, 1]","['Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.', 'the situation regarding Ukraine has seriously deteriorated.']",support
2,"[9, 1]","['On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.', 'the situation regarding Ukraine has seriously deteriorated.']",support
3,"[5, 1]","['It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.', 'the situation regarding Ukraine has seriously deteriorated.']",support
4,"[11, 1]","['Numerous others have been reported wounded.', 'the situation regarding Ukraine has seriously deteriorated.']",support
5,"[10, 1]","['As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.', 'the situation regarding Ukraine has seriously deteriorated.']",support
6,"[8, 1]","['United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.', 'the situation regarding Ukraine has seriously deteriorated.']",support
7,"[7, 1]","['They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.', 'the situation regarding Ukraine has seriously deteriorated.']",support
8,"[6, 1]","['United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.', 'the situation regarding Ukraine has seriously deteriorated.']",support
9,"[4, 1]","[""In Donetsk, some of these individuals declared a People's Republic of Donetsk."", 'the situation regarding Ukraine has seriously deteriorated.']",support
10,"[3, 1]","['The individuals involved called for secession from Ukraine and for joining the Russian Federation.', 'the situation regarding Ukraine has seriously deteriorated.']",support
11,"[13, 16]","['Kyiv time to give up their weapons in order to avoid prosecution.', 'The situation is therefore now more combustible than ever.']",support
12,"[12, 16]","[""Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am."", 'The situation is therefore now more combustible than ever.']",support
13,"[14, 16]","['The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.', 'The situation is therefore now more combustible than ever.']",support
14,"[15, 16]","['The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.', 'The situation is therefore now more combustible than ever.']",support
15,"[17, 18]","['The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.', 'The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.']",support
16,"[17, 19]","['The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.', 'He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.']",support
17,"[17, 20]","['The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.', 'The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.']",support
18,"[22, 21]","['if intensive efforts are not urgently made by all concerned to de-escalate the situation.', 'It has become painfully evident that the Ukraine crisis will continue to deepen']",support
19,"[22, 23]","['if intensive efforts are not urgently made by all concerned to de-escalate the situation.', 'At this moment, Ukraine teeters on the very brink.']",support
20,"[24, 25]","['it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.', 'Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.']",support
21,"[24, 26]","['it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.', 'Such scenarios will also have repercussions for the entire international community.']",support
22,"[28, 27]","['The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.', ""the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society""]",support
23,"[28, 29]","['The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
24,"[30, 29]","['A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
25,"[31, 29]","['I would simply have shot them.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
26,"[32, 29]","['The enemy is prevailing in our land.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
27,"[33, 29]","['They should have been chased out in 1654.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
28,"[34, 29]","['These creatures deserve only one thing - death.""', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
29,"[36, 29]","['We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
30,"[35, 29]","['It should be noted that this was said by a woman.', 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']",support
31,"[36, 37]","['We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.', 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']",support
32,"[45, 37]","[""However, the protesters' interests and opinions have not been taken into account or even discussed."", 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']",support
33,"[42, 37]","['However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.', 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']",support
34,"[38, 39]","['The events of the past two days have shown that,', 'following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']",support
35,"[40, 39]","['Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.', 'following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']",support
36,"[41, 46]","['However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.', 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']",support
37,"[43, 46]","['It is no coincidence that law-enforcement officers were present among the Maidan protestors.', 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']",support
38,"[44, 46]","['According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used', 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']",support
39,"[44, 47]","['According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used', 'Any further escalation of the situation must be swiftly stopped.']",support
40,"[52, 48]","['Enough is enough.', 'The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.']",support
41,"[52, 49]","['Enough is enough.', 'The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.']",support
42,"[51, 50]","['Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.', 'It is the West that must determine the opportunity for avoiding civil war in Ukraine.']",support
43,"[51, 53]","['Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.', 'They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.']",support
44,"[52, 54]","['Enough is enough.', 'It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.']",support
45,"[51, 54]","['Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.', 'It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.']",support
46,"[61, 55]","[""Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment"", 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",support
47,"[58, 55]","['Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.', 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",support
48,"[56, 55]","['External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.', 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",support
49,"[59, 55]","[""Again, considerable Russian troops are massed on Ukraine's borders."", 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",support
50,"[60, 55]","['Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.', 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",support
51,"[61, 57]","[""Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment"", 'The scenario is dangerously familiar.']",support
52,"[58, 57]","['Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.', 'The scenario is dangerously familiar.']",support
53,"[59, 57]","[""Again, considerable Russian troops are massed on Ukraine's borders."", 'The scenario is dangerously familiar.']",support
54,"[60, 57]","['Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.', 'The scenario is dangerously familiar.']",support
55,"[64, 62]","[""about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia."", ""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia""]",attack
56,"[63, 62]","['recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.', ""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia""]",attack
57,"[65, 66]","['bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.', 'It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.']",support
58,"[65, 67]","['bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.', 'My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.']",support
59,"[70, 68]","[""Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions."", 'Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.']",support
60,"[69, 68]","[""Ukraine's Government has reached out repeatedly to the separatists."", 'Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.']",support
61,"[71, 72]","[""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority."", 'That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.']",support
62,"[74, 75]","['amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.', 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']",support
63,"[69, 75]","[""Ukraine's Government has reached out repeatedly to the separatists."", 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']",support
64,"[70, 75]","[""Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions."", 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']",support
65,"[73, 75]","['Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.', 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']",support
66,"[71, 75]","[""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority."", 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']",support
67,"[69, 76]","[""Ukraine's Government has reached out repeatedly to the separatists."", ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]",support
68,"[70, 76]","[""Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions."", ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]",support
69,"[71, 76]","[""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority."", ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]",support
70,"[73, 76]","['Prime Minister Yatseniuk also reassured the Russian-speaking population regarding the use of the Russian language.', ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]",support
71,"[74, 76]","['amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.', ""We fully support those efforts and once again stress the extraordinary restraint and patience with which Ukraine's Government has continued to respond to the unending provocations and efforts to dismember the State by armed pro-Russian militants and separatists.""]",support
72,"[77, 78]","['when the existence of a State is put in danger,', 'we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']",support
73,"[80, 78]","['The independence, sovereignty and territorial integrity of Ukraine are being threatened,', 'we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']",support
74,"[81, 78]","['and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.', 'we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']",support
75,"[80, 79]","['The independence, sovereignty and territorial integrity of Ukraine are being threatened,', 'The international community and members of the Council should not be fooled by the pronouncements of the likes of Yanukovich and his corrupt cronies.']",support
76,"[80, 82]","['The independence, sovereignty and territorial integrity of Ukraine are being threatened,', 'We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.']",support
77,"[81, 82]","['and that threat is a threat to the security and stability of the whole region and Europe, with serious international repercussions.', 'We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.']",support
78,"[83, 84]","['The meeting among the United States, Russia, Ukraine and the European Union foreseen for 17 April in Geneva wold offer a viable chance for dialogue and diplomacy.', 'We call on Russia not to waste that opportunity.']",support
79,"[86, 87]","['The lives of innocent civilians are at risk', 'we are being bombarded by Russian disinformation and propaganda']",attack
80,"[91, 89]","['The Council has heard it publicly, and we have heard it privately.', 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']",support
81,"[90, 89]","['The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.', 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']",support
82,"[96, 89]","[""Then, too, Russia said it was acting to protect minorities' rights."", 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']",support
83,"[94, 89]","['Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.', 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']",support
84,"[92, 89]","['the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today,', 'Russian media and Government spokespersons are spreading fiction, so we must tonight focus on facts.']",support
85,"[94, 93]","['Then, too, officials from the Russian Federation spoke early on in the crisis and disclaimed any intention of occupying or invading.', 'mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']",attack
86,"[95, 93]","['In the earlier Crimean case, highly organized, well-equipped and professional forces wearing Russian military uniforms and military gear without identifying insignia moved in first to take control of Crimean Government and security facilities, before being later replaced by regular Russian military forces.', 'mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']",support
87,"[92, 93]","['the fact is that the armed seizure of buildings in six eastern Ukrainian towns yesterday, and several more today,', 'mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']",support
88,"[96, 93]","[""Then, too, Russia said it was acting to protect minorities' rights."", 'mirrors the tactics Russian forces used in the early stages of the Crimea invasion.']",support
89,"[98, 97]","['As the Organization for Security and Cooperation in Europe has reported, the minorities at risk in Crimea are Tatars and Ukrainians.', 'But the whole world now knows that they were not.']",support
90,"[100, 97]","[""Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia."", 'But the whole world now knows that they were not.']",support
91,"[96, 97]","[""Then, too, Russia said it was acting to protect minorities' rights."", 'But the whole world now knows that they were not.']",attack
92,"[99, 97]","['The Council has heard that there are no Russian troops in eastern Ukraine, but the fact is that many of the armed units that we have seen were outfitted in bullet-proof vests and camouflage uniforms with insignia removed.', 'But the whole world now knows that they were not.']",support
93,"[103, 102]","['The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.', 'indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']",support
94,"[104, 102]","['it need only witness for itself the videos of professional military shepherding thugs into a building in Kramatorsk; the photographs showing the so-called concerned citizens taking over Sloviansk, equipped exactly like the elite troops that took Crimea; or the video of a military operation in Krasny Liman by armed men with the same equipment.', 'indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']",support
95,"[101, 102]","['We know who is behind that', 'indeed, the only entity in the area capable of those coordinated, professional military actions is Russia.']",support
96,"[105, 106]","['The Council has heard laments about instability, as ifinstability were organic.', 'But the fact is that this is the saddest kind of instability: it is completely man-made.']",attack
97,"[105, 107]","['The Council has heard laments about instability, as ifinstability were organic.', 'This instability was written and choreographed in and by Russia.']",attack
98,"[113, 111]","['On Monday, we will conclude the $1 billion loan guarantee for Ukraine.', 'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.']",support
99,"[115, 111]","['Next week, Vice-President Biden will visit Ukraine.', 'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.']",support
100,"[114, 111]","['That will benefit all the Ukrainian people, including minorities', 'The United States stands with Ukraine and the fundamental principle that the future of Ukraine must be decided by the Ukrainian people.']",support
101,"[113, 112]","['On Monday, we will conclude the $1 billion loan guarantee for Ukraine.', 'We also stand with international law and norms and the fundamental principle that borders are not suggestions.']",support
102,"[114, 112]","['That will benefit all the Ukrainian people, including minorities', 'We also stand with international law and norms and the fundamental principle that borders are not suggestions.']",support
103,"[115, 112]","['Next week, Vice-President Biden will visit Ukraine.', 'We also stand with international law and norms and the fundamental principle that borders are not suggestions.']",support
104,"[117, 116]","[""the international community can bolster Ukraine's economy."", 'We strongly support concluding the agreement between Ukraine and the International Monetary Fund']",support
105,"[119, 118]","['so that Ukraine can advance its political transition and look to a peaceful future.', ""we will support in every way we can Ukraine's elections at the end of May""]",support
106,"[122, 120]","['Street protests have given way to violent action.', 'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours']",support
107,"[121, 120]","['with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.', 'The United Kingdom is gravely concerned by events in eastern Ukraine, which have escalated over the past 48 hours']",support
108,"[121, 123]","['with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.', 'That is a dangerous escalation of an already dangerous situation.']",support
109,"[122, 123]","['Street protests have given way to violent action.', 'That is a dangerous escalation of an already dangerous situation.']",support
110,"[124, 127]","['We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.', 'Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']",support
111,"[125, 127]","['That is a pattern that is all too familiar.', 'Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']",support
112,"[126, 127]","['Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia', 'Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']",support
113,"[124, 128]","['We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.', 'Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.']",support
114,"[126, 128]","['Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia', 'Such actions are contrary to international law, have already been condemned by the international community and have been declared invalid by the General Assembly.']",support
115,"[129, 130]","['As a Member of the United Nations, and as a permanent member of the Security Council,', 'Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']",support
116,"[131, 130]","['Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.', 'Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']",attack
117,"[132, 130]","['That is in addition to the 25,000 Russian troops based illegally in Crimea.', 'Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']",attack
118,"[134, 135]","['the publicly available satellite images illustrating that troop deployment were taken in August 2013.', 'That is false;']",attack
119,"[136, 135]","['additional images released on 11 April show clearly that the build-up started in early March of this year.', 'That is false;']",support
120,"[133, 135]","[""Just as six weeks ago Russia denied deploying its troops to Crimea, it also now denies that it has amassed troops on Ukraine's eastern border."", 'That is false;']",attack
121,"[137, 138]","[""Russia's aggressive stance is a clear threat to the sovereignty, independence and territorial integrity of Ukraine."", 'The United Kingdom calls on Russia immediately to redeploy its troops away from the border, cease all activity designed to heighten tensions and sow discord, and revoke the mandate given by the Federation Council on 1 March to use military force on Ukrainian soil.']",support
122,"[139, 141]","['The Russian Federation has made little secret of its efforts to undermine the process of reconciliation in Ukraine.', 'Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.']",support
123,"[140, 141]","['Rather than assisting its neighbours in rebuilding their country after the fall of a deeply corrupt regime that left the nation on the verge of bankruptcy, Russia has instead sought to destabilize the country further in pursuit of its narrow interests.', 'Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.']",support
124,"[140, 142]","['Rather than assisting its neighbours in rebuilding their country after the fall of a deeply corrupt regime that left the nation on the verge of bankruptcy, Russia has instead sought to destabilize the country further in pursuit of its narrow interests.', ""The international community is not fooled by the Kremlin's use of propaganda and misinformation to spread fears among the population of eastern Ukraine.""]",support
125,"[139, 142]","['The Russian Federation has made little secret of its efforts to undermine the process of reconciliation in Ukraine.', ""The international community is not fooled by the Kremlin's use of propaganda and misinformation to spread fears among the population of eastern Ukraine.""]",support
126,"[145, 144]","['They do not enjoy widespread support, and the numbers of genuine protestors on the streets pale in comparison to the crowds of hundreds of thousands who protested against the former regime.', 'the recent demonstrations in eastern cities are not organic.']",support
127,"[143, 144]","['Contrary to Russian claims', 'the recent demonstrations in eastern cities are not organic.']",attack
128,"[145, 146]","['They do not enjoy widespread support, and the numbers of genuine protestors on the streets pale in comparison to the crowds of hundreds of thousands who protested against the former regime.', 'what we are witnessing is a well-orchestrated campaign designed to destabilize the country.']",support
129,"[148, 146]","['The illegal annexation of Crimea, stoking tensions and provoking violence in eastern Ukraine, hurt and endanger all the people of Ukraine.', 'what we are witnessing is a well-orchestrated campaign designed to destabilize the country.']",support
130,"[148, 147]","['The illegal annexation of Crimea, stoking tensions and provoking violence in eastern Ukraine, hurt and endanger all the people of Ukraine.', ""If Russia really has genuine concerns about Ukraine's Russian-speaking population, then its actions have done nothing to safeguard their interests.""]",support
131,"[149, 151]","['The special monitoring mission of the Organization for Security and Cooperation in Europe and the United Nations human rights monitoring mission are in Ukraine to observe the situation and report on developments.', 'we fully support their work']",support
132,"[150, 151]","['Their presence is designed to safeguard the rights of all the citizens of Ukraine.', 'we fully support their work']",support
