Sentence_ID,Sentence,Arg_Type,Argument_IDs,Argument_Relations
1,"Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.",claim,[1],{}
2,This is now the tenth time that the Council has addressed the issue.,non-arg,[],{}
3,The General Assembly also took up the matter on 27 March (see A/68/PV.80).,non-arg,[],{}
4,"Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.",premise,[2],{}
5,The individuals involved called for secession from Ukraine and for joining the Russian Federation.,premise,[3],{}
6,"In Donetsk, some of these individuals declared a People's Republic of Donetsk.",premise,[4],{}
7,"It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.",premise,[5],{}
8,United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.,premise,[6],{}
9,"They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.",premise,[7],{}
10,"United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.",premise,[8],{}
11,"On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.",premise,[9],{}
12,"As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.",premise,[10],{}
13,Numerous others have been reported wounded.,premise,[11],{}
14,"Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am.",premise,[12],{}
15,Kyiv time to give up their weapons in order to avoid prosecution.,premise,[13],{}
16,"The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.",premise,[14],{}
17,"The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.",premise,[15],{}
18,The situation is therefore now more combustible than ever.,claim,[16],{}
19,The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.,premise,[17],{}
20,The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.,claim,[18],{}
21,He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.,claim,[19],{}
22,"The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.",claim,[20],{}
23,It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.,premise,"[21, 22]","{(21, 22): 'support'}"
24,"At this moment, Ukraine teeters on the very brink.",claim,[23],{}
25,"However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.",premise,[24],{}
26,"Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.",claim,[25],{}
27,Such scenarios will also have repercussions for the entire international community.,claim,[26],{}
28,The Russian Federation has called for this emergency meeting of the Security Council because of the serious dangerous evolution of the situation in south-eastern Ukraine.,non-arg,[],{}
29,"We have pointed out on several occasions, including in this Chamber, that the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society.",claim,[27],{}
30,"The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.",premise,[28],{}
31,Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.,claim,[29],{}
32,"A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.",premise,[30],{}
33,I would simply have shot them.,premise,[31],{}
34,The enemy is prevailing in our land.,premise,[32],{}
35,They should have been chased out in 1654.,premise,[33],{}
36,"These creatures deserve only one thing - death."" It should be noted that this was said by a woman.",premise,"[34, 35]",{}
37,We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.,premise,[36],{}
38,And that is not even the most radical group on the Ukrainian political spectrum.,non-arg,[],{}
39,Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?,claim,[37],{}
40,"The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.",claim,"[38, 39]","{(39, 38): 'support', (39, 40): 'support'}"
41,"Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.",premise,[40],{}
42,What is the situation today?,non-arg,[],{}
43,We have been told that restraint will be exercised and a peaceful solution found to the situation that takes into account the opinions of the various groupings of the Ukrainian population.,non-arg,[],{}
44,That has been confirmed by our Western interlocutors.,non-arg,[],{}
45,"However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.",premise,[41],{}
46,"However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.",premise,[42],{}
47,It is no coincidence that law-enforcement officers were present among the Maidan protestors.,premise,[43],{}
48,Now the Kyiv authorities must use force to suppress other areas of the country.,non-arg,[],{}
49,"According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used.",premise,[44],{}
50,"However, the protesters' interests and opinions have not been taken into account or even discussed.",premise,[45],{}
