id,sentence_claim,sentence_premise,relation
1,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[4, 'Following close to two weeks of relative calm, starting on 6 April armed individuals and separatist groups began to seize Government buildings and confiscate lethal weapons in Donetsk oblast of Ukraine, including in the cities of Donetsk, Lugansk and Kharkiv.']",support
2,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[11, 'On the eve of 13 April, authorities in Kyiv launched an ""anti-terror"" operation to reclaim Sloviansk, a day after it was overrun by pro-separatist activists, whom the United Nations human rights monitors on the ground have described as well-armed and well-organized militiamen.']",support
3,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[7, 'It has now been reported that there have been at least five new cities in eastern Ukraine targeted by uprisings and seizures of Government buildings in the past 24 hours, including the towns of Sloviansk, Kramatorsk and Druzhkivka.']",support
4,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[13, 'Numerous others have been reported wounded.']",support
5,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[12, 'As of 13 April, at least one Ukrainian officer has been killed in a gun battle; however, the exact number of casualties in the skirmishes remains unknown.']",support
6,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[10, 'United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.']",support
7,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[9, 'They also sighted armed militiamen with AK-47s, machine guns and sniper rifles.']",support
8,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[8, 'United Nations monitors have reported a consistent reinforcement of barricades and armed civilians on both sides.']",support
9,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[6, ""In Donetsk, some of these individuals declared a People's Republic of Donetsk.""]",support
10,"[1, 'Once again, since the last briefing to the Council, presented by the Secretary-General on 28 March, the situation regarding Ukraine has seriously deteriorated.']","[5, 'The individuals involved called for secession from Ukraine and for joining the Russian Federation.']",support
11,"[18, 'The situation is therefore now more combustible than ever.']","[15, 'Kyiv time to give up their weapons in order to avoid prosecution.']",support
12,"[18, 'The situation is therefore now more combustible than ever.']","[14, ""Also today, Ukraine's acting President, Oleksandr Turchynov, signed a presidential decree, giving the self-declared separatists until 6 am.""]",support
13,"[18, 'The situation is therefore now more combustible than ever.']","[16, 'The President further declared in a televised address to the nation that if illegal activities were not halted, a full-scale operation involving the Ukrainian army would be launched.']",support
14,"[18, 'The situation is therefore now more combustible than ever.']","[17, 'The Russian Federation has publicly stated on several occasions that it would be ""forced to act"" if Kyiv were to employ force against demonstrators in the East.']",support
15,"[20, 'The Secretary-General has continued to speak out for the exercise of maximum restraint by all concerned and strict adherence to international law.']","[19, 'The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.']",support
16,"[21, 'He also continues to urge all others with influence on the situation to immediately and publicly call for restraint and a return to calm.']","[19, 'The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.']",support
17,"[22, 'The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.']","[19, 'The Secretary-General and the United Nations remain committed to the pursuit of a peaceful solution to this ever-deepening crisis.']",support
18,"[23, 'It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.']","[23, 'It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.']",support
19,"[24, 'At this moment, Ukraine teeters on the very brink.']","[23, 'It has become painfully evident that the Ukraine crisis will continue to deepen if intensive efforts are not urgently made by all concerned to de-escalate the situation.']",support
20,"[26, 'Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.']","[25, 'However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.']",support
21,"[27, 'Such scenarios will also have repercussions for the entire international community.']","[25, 'However, it is not just Ukraine that will suffer from a scenario where the likelihood of further bloodshed and violent clashes grows by the hour.']",support
22,"[29, ""We have pointed out on several occasions, including in this Chamber, that the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society.""]","[30, 'The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.']",support
23,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[30, 'The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.']",support
24,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[32, 'A few days ago, a member of Parliament belonging to the chauvinist Svoboda party said this about the Russian-speaking inhabitants of Ukraine: ""I would have acted much more harshly.']",support
25,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[33, 'I would simply have shot them.']",support
26,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[34, 'The enemy is prevailing in our land.']",support
27,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[35, 'They should have been chased out in 1654.']",support
28,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[36, 'These creatures deserve only one thing - death."" It should be noted that this was said by a woman.']",support
29,"[31, 'Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.']","[37, 'We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.']",support
31,"[39, 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']","[37, 'We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.']",support
32,"[39, 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']","[50, ""However, the protesters' interests and opinions have not been taken into account or even discussed.""]",support
33,"[39, 'Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?']","[46, 'However, unlike the Maidan demonstrators, the protesters have terrorized no one, have used no bulldozers against the authorioties, and thrown no Molotov cocktails.']",support
34,"[40, 'The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']","[40, 'The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']",support
35,"[40, 'The events of the past two days have shown that, following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']","[41, 'Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.']",support
36,"[51, 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']","[45, 'However, on 13 April the Verkhovna Rada-appointed President Turchynov stated that the Ukrainian Security Council had decided to launch a full-scale anti-terrorist operation, including the use of the armed forces.']",support
37,"[51, 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']","[47, 'It is no coincidence that law-enforcement officers were present among the Maidan protestors.']",support
38,"[51, 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']","[49, 'According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used.']",support
39,"[52, 'Any further escalation of the situation must be swiftly stopped.']","[49, 'According to Turchynov, the people of south-eastern Ukraine must end their protests by the morning of Monday, 14 April, lest armed force be used.']",support
40,"[53, 'The international community must require the Maidan henchmen who seized power in Kyiv to cease their war against their own people and to implement all the commitments under the 21 February agreement.']","[57, 'Enough is enough.']",support
41,"[54, 'The Western sponsors of the Maidan henchmen, in particular those who stood as witnesses to the agreement and the United States, which is their backer, are obligated to end their support, dissociate themselves from neo-Nazis and other extremists, stop the use of force against the Ukrainian people, and begin forthwith a genuine national dialogue with the full participation of all regions, in the interests of the speedy implementation of radical constitutional reform.']","[57, 'Enough is enough.']",support
42,"[55, 'It is the West that must determine the opportunity for avoiding civil war in Ukraine.']","[56, 'Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.']",support
43,"[58, 'They must stop claiming that we have deployed our army along the border with that country and are practically already at the English Channel, and that we have sent agents to coordinate the protests in Ukraine.']","[56, 'Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.']",support
44,"[59, 'It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.']","[57, 'Enough is enough.']",support
45,"[59, 'It must be understood that south-eastern Ukraine and its people are deeply worried about their future and that they do not want anyone, especially the nationalist radicals, to impose their will on them.']","[56, 'Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.']",support
46,"[62, 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']","[68, ""Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment.""]",support
47,"[62, 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']","[65, 'Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.']",support
48,"[62, 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']","[63, 'External forces and local provocateurs continue to fuel separatism and hatred, destabilizing the situation in eastern Ukraine on the eve of the 25 May elections.']",support
49,"[62, 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']","[66, ""Again, considerable Russian troops are massed on Ukraine's borders.""]",support
50,"[62, 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']","[67, 'Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.']",support
51,"[64, 'The scenario is dangerously familiar.']","[68, ""Ukraine's traitor Yanukovich, who abandoned his country and fled, opening the floodgates to Crimea's annexation, is being pushed again into the daylight to clear the way for Ukraine's further dismemberment.""]",support
52,"[64, 'The scenario is dangerously familiar.']","[65, 'Where there was no unrest, unrest and chaos are being created by pro-Russian militias, again anonymous and without insignia, and again carrying modern models of assault weapons as seen in Crimea.']",support
53,"[64, 'The scenario is dangerously familiar.']","[66, ""Again, considerable Russian troops are massed on Ukraine's borders.""]",support
54,"[64, 'The scenario is dangerously familiar.']","[67, 'Again, the external anti-Ukranian and anti-Western propaganda machine is in full swing, inciting suspicion, mistrust and hatred waiting to explode.']",support
55,"[69, ""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.""]","[70, ""In fact, about 65 per cent of the region's residents, according to opinion polls, have expressed their desire to remain part of Ukraine, while only 18.2 per cent want to join Russia.""]",attack
56,"[69, ""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.""]","[69, ""Groups of provocateurs in the hundreds, supported by pro-Russian militias, are attacking buildings of Ukraine's State institutions and declaring independence from Ukraine, as well as announcing plans for new referendums on joining Russia, in spite of the fact that recent opinion polls clearly show that the predominant majority of people in the region see their future inextricably linked to Ukraine.""]",attack
57,"[72, 'It is as clear as day that, in spite of the reassurances we heard from Moscow a few weeks ago, military aggression against Ukraine and its sovereignty, independence, and territorial integrity has not stopped with Crimea.']","[71, 'Tragically, bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.']",support
58,"[73, 'My Government strongly condemns the actions of the separatist groups and their sponsors in the Donetsk region, as well as in the regions of Luhansk and Kharkiv.']","[71, 'Tragically, bloodshed is happening where there was no bloodshed before pro-Russian militants started their creeping secessionist provocations.']",support
59,"[74, 'Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.']","[76, ""In the most difficult of political and economic circumstances, Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.""]",support
60,"[74, 'Lithuania supports the efforts of the Government of Ukraine to resolve this complex and unpredictable situation in a peaceful way.']","[75, ""Ukraine's Government has reached out repeatedly to the separatists.""]",support
61,"[78, 'That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.']","[77, ""Acting Prime Minister Yatseniuk has clearly stated that the Government must respond to people's desire to have more regional authority.""]",support
62,"[81, 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']","[80, 'Furthermore, amnesty was offered to all militants who laid down arms and returned to seeking a peaceful solution to existing issues.']",support
63,"[81, 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']","[75, ""Ukraine's Government has reached out repeatedly to the separatists.""]",support
64,"[81, 'It is obvious that the Ukrainian Government is doing everything possible, under such dramatic circumstances, to respond to the legitimate needs and concerns of the population, to curb corruption and impunity, which had reigned under Yanukovich, to re-establish law and order and the authority of the State and to address the problems the Government inherited from years of neglect and mismanagement.']","[76, ""In the most difficult of political and economic circumstances, Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions.""]",support
